year,match_count,volume_count
1607,10320,935
1616,136214,1545
1617,157447,1599
1623,2512,1051
1656,395599,2439
1695,9566,243
1697,5825,171
1700,2566,85
1711,58889,1240
1717,144075,447
1721,13160,285
1727,4824,144
1729,4763,261
1731,132636,1649
1732,1007,23
1734,1492,39
1736,4261,103
1737,35577,766
1738,16805,210
1739,210115,2707
1742,834,21
1743,3474,85
1744,11694,249
1745,22584,477
1746,16250,267
1747,40961,1037
1748,19560,321
1749,8938,145
1750,78760,1340
1751,12220,275
1752,43788,1391
1753,10930,185
1754,16647,267
1755,39813,723
1756,69898,1384
1757,179480,3820
1758,80534,1522
1759,216165,4282
1760,218320,4578
1761,77321,1888
1762,82310,1667
1763,178548,3382
1764,129181,2252
1765,91544,1815
1766,105313,2688
1767,244948,4261
1768,154596,2622
1769,224200,4758
1770,52579,873
1771,97113,1888
1772,188043,3955
1773,196189,4448
1774,102882,1314
1775,327130,5391
1776,59441,1267
1778,98351,2190
1779,317447,6421
1780,1043183,15941
1781,655885,14121
1782,453802,7004
1783,659709,12053
1784,318428,8202
1785,950313,15868
1786,1072222,17273
1787,410566,11284
1788,1307524,24234
1789,952321,15476
1790,789809,14229
1791,781813,15241
1792,852296,13242
1793,857930,17198
1794,1645580,34105
1795,675832,13255
1796,260678,4403
1797,118065,3035
1798,621825,14721
1799,279409,5602
1800,951970,12257
1801,867738,19232
1802,756632,13542
1803,1741793,34037
1804,563801,14336
1805,1077108,22744
1806,589222,12317
1807,559509,13353
1808,1336423,21832
1809,627815,13645
1810,513706,12207
1811,721800,14993
1812,1105381,23089
1813,1651762,28263
1814,1191433,22705
1815,2002363,43309
1816,1536919,29647
1817,2100770,39616
1818,2395227,45328
1819,2660058,51467
1820,1884202,39602
1821,2625693,54914
1822,3247890,59026
1823,2220221,47190
1824,2462568,53092
1825,2681407,50253
1826,2910857,55856
1827,2502199,53192
1828,3495018,65793
1829,2641955,58115
1830,18390823,167757
1831,3266859,60840
1832,2994008,51662
1833,5150788,89077
1834,7193087,109641
1835,5198626,65229
1836,8592260,115325
1837,9766374,135899
1838,12267871,161086
1839,11468351,145844
1840,11177245,145519
1841,8524110,110449
1842,12771157,141024
1843,8801541,108643
1844,7173955,96612
1845,13955982,146597
1846,12882771,141849
1847,18335760,192733
1848,18510064,221279
1849,16464676,220605
1850,13708687,158998
1851,13924813,175476
1852,18079874,234948
1853,17601795,194850
1854,17571739,185326
1855,20774067,236483
1856,19123156,204395
1857,32714009,325777
1858,35738983,361744
1859,40592393,416377
1860,38155776,376001
1861,51342292,486358
1862,39808982,386750
1863,44241585,434212
1864,37971222,368921
1865,39020659,363321
1866,40853413,383333
1867,45158668,407730
1868,55165543,493349
1869,61006847,570782
1870,49995321,462361
1871,52510935,478204
1872,54506093,501743
1873,43912961,400484
1874,44832884,424618
1875,46235966,427883
1876,49474792,449477
1877,44128022,400369
1878,52157383,479606
1879,44177823,397886
1880,52245906,483676
1881,55752511,499641
1882,56818491,517281
1883,59030980,540644
1884,78123967,694633
1885,60446709,569425
1886,55002487,524832
1887,61909555,586420
1888,62244418,565136
1889,71669115,634768
1890,71770433,637813
1891,77455580,675788
1892,80415265,684643
1893,74305304,670452
1894,95030245,738993
1895,95633004,810286
1896,112780027,969776
1897,130043506,1045179
1898,118035767,942571
1899,108475787,942406
1900,117056771,966134
1901,119465359,1044164
1902,125661782,1049034
1903,138069844,1148477
1904,136484884,1111005
1905,124120986,1088776
1906,141029722,1164612
1907,110325291,966040
1908,110603506,986690
1909,81929639,738502
1910,70992244,683520
1911,96191450,887108
1912,93529361,846646
1913,103255184,891623
1914,82386340,789161
1915,63302296,627488
1916,61505782,531963
1917,34031813,313955
1918,25645291,234739
1919,22377793,187541
1920,26854255,210985
1921,37851153,346625
1922,77112377,621046
1923,113580168,759433
1924,87874314,552402
1925,108906681,698593
1926,121236904,767416
1927,139542300,878528
1928,151614667,1015607
1929,138965074,884711
1930,138246942,901800
1931,132505377,799203
1932,132485746,775656
1933,158241283,908753
1934,174624383,967458
1935,213960827,1216131
1936,208521015,1202937
1937,214339800,1218922
1938,171788932,971871
1939,196130230,1059064
1940,172176482,934345
1941,123088206,678091
1942,29828015,176809
1943,37245350,200645
1944,55347122,293445
1945,93305974,517164
1946,170471857,966454
1947,246416469,1349219
1948,268438664,1552016
1949,278241305,1554993
1950,314943319,1665290
1951,315430607,1817804
1952,340240030,1944980
1953,346722852,1970784
1954,409013784,2349320
1955,508755442,2902816
1956,606504915,3390487
1957,661208000,3748090
1958,798602486,4572539
1959,893867300,5205934
1960,982863644,5783323
1961,1005468244,5875878
1962,1030296014,5980760
1963,1105429431,6516976
1964,1029184081,6184890
1965,1056910604,6288412
1966,1123474753,6708676
1967,1139822394,6684611
1968,1141604786,6782698
1969,1161277489,6925315
1970,1185482596,7110427
1971,1068583609,6285505
1972,1082631476,6235395
1973,1145270262,6507050
1974,1163078360,6658622
1975,1138171389,6597493
1976,1149277662,6634933
1977,1160172122,6772033
1978,1184760560,6849596
1979,1117079444,6433568
1980,1126077952,6415901
1981,1107964254,6264746
1982,1112775566,6215733
1983,1116831223,6163337
1984,1184026803,6562924
1985,1153921716,6412945
1986,1141844225,6449796
1987,1216222818,6754122
1988,1226318622,6827186
1989,1250694132,7013805
1990,1192642588,6637744
1991,1020495285,5554434
1992,880214798,4918606
1993,846949596,4716499
1994,917048964,4978422
1995,852498845,4732576
1996,816025969,4587920
1997,870925702,4957871
1998,887865114,5057547
1999,987786720,5620414
2000,1117633549,6466458
2001,1091222671,6204782
2002,1077868372,6127368
2003,1158355889,6535775
2004,1120088544,6281508
2005,1093542255,6313993
2006,987994861,5604394
2007,861057506,4917317
2008,781088437,4559167
2009,470590195,2719956
